item_code,valuation_rate
m24-007,185.04
m24-008,176.35
m24-009,118.33
m24-010,408.38
m24-085,55.04
m24-182,156.7
m24-183,20.54
m24-202,121.88
m24-203,5.56
m24-204,181.64
m24-263,20.54
m24-264,156.7
NF23-161,759.38
ADA02,39.6
ADA12,61.22
CIP01,37.51
BLEV01,12.5
DIA05,564.79
YAS01,698.81
YAZ01,698.81
VISAN01,1872.3
DER12,80.36
DER13,129.64
DER15,40.18
DER18,62.86
DER20,117.86
DER22,144.64
DER24,60.71
DRMA01,100.45
DRMA02,148.66
MICT01,136.61
AN20,18.9
AN40,24.57
AN80,24.57
CNOD,93.3
AN500,81.3
CN250,712.5
CN500,48.52
LN530,53.3
GN3060,5.04
VAP01,92.7
VAP02,92.7
BEAU09,64.51
BEAU10,98.66
BEAU11,34.15
AMV5,11.48
VIA2,42.69
ZC20,20.83
ANT40,29.6
CLO79,21.25
G2100,8.5
GLIM3,9.35
ITZ20,12.75
ITZ40,18.28
ITZ80,22.53
KEN05,10.97
KEN06,14.88
NUV16,17.46
PRO76,9.14
PRO77,13.18
SPI25,12.75
TEN22,7.01
TMZ35,12.9
ULT16,9.3
VEZ50,18.28
VIA1G,406.56
BES100,2.16
BRH100,547.94
CAR103,14.88
CARD12,9.35
CARM1G,1385.5
CARM5G,850
ECOS75,26.56
FEN100,11.38
ICX200,19.92
IGCO30,69.82
KEN100,14.52
KET100,22.01
OME100,22.39
OMN500,37.19
PPAR30,14.88
PRO100,22.96
PROS40,368.08
REZ250,406.56
SAP125,1138.4
SOLF10,49.28
SOLF30,49.28
THR100,21.25
VIR150,15.3
VIR300,20.83
ZIT500,64.51
CET 325,20.11
CITIF01,45.16
FIXB200,34.15
FLEM600,26.56
KENZ45M,721.23
M22-019,5.88
M22-020,12.75
M22-124,25.81
M23-028,20.83
M23-112,11.9
M23-113,16.58
M23-114,15.75
M23-115,26.1
M23-116,29.6
M23-117,3.42
M23-118,14.42
M23-191,18.97
M23-192,683.03
M23-194,34.15
NORM500,7.65
PRON100,11.19
HALO01,32.59
CCJ01,112.05
CCR01,60.09
CCR03,16.29
LOA01,32.14
LOA02,55.36
LOA03,55.36
LSC01,41.83
FERR01,55.63
FERR02,99.33
FERR03,540.36
KINJ01,42.23
KINJ02,42.23
TCTC05,23.04
TCTC06,23.04
TCTC07,23.04
TCTC08,23.04
F23-072,41.83
F23-073,41.83
f24-137,65.63
f24-138,65.63
f24-139,65.63
DORINC01,36.56
DORITA02,36.56
LOAKER01,32.14
20274,3883.93
20604,7633.93
2160S,18750
22361,1161.16
22362,9500
22371,5223.21
22390,2153.57
22391,843.75
22458,1165.18
22470,1603.13
22484,2691.96
22485,441.96
22486,502.24
22487,1004.46
22524,502.24
22532,9642.86
22679,7589.29
22712,3776.79
22724,9642.86
22741,6830.36
22839,109.31
22840,91.13
22842,160.71
22857,658.93
22869,11611.61
47222,8.33
47225,201.79
101576,91.01
102471,5223.21
102775,64.29
102776,731.25
103058,189.73
103700,3.35
104099,982.14
3M5627,6830.36
C35620,6267.86
C35621,7633.93
C35622,6830.36
C35835,6830.36
1000376,22.32
1001623,156.25
BDPOS01,37.76
I22-021,1446.43
I22-038,61.88
i23-093,811.61
C3CPR5809,8839.29
3M PH00001,6830.36
3M PH00006,173.57
3M PH00038,385.71
3M PH00062,6830.36
3M PH00067,8043
BLS01,30.96
KAT05,29.6
KAT06,20.04
KAT07,46.12
KAT12,48.71
SHA04,46.17
SHA05,81.69
TOP03,51.5
TOP06,51.69
CHNH01,5.46
PORA90,58.04
PORC01,40.18
VIN330,50.96
BWEL1,4.17
BWEL2,7.59
BWEL3,9.1
BIG01,49.11
BIG02,49.11
BIG03,44.2
BIG04,44.2
BIG05,176.79
BIG06,176.79
BIG07,176.79
BIG08,176.79
BIG09,196.43
BOP01,311.61
BOP02,311.61
BOP03,311.61
BOP04,311.61
BOP05,311.61
BOP06,311.61
BOP07,311.61
BOP08,311.61
BOP09,311.61
BOP10,311.61
BCOPB01,44.2
SPEBB01,196.43
SPEMB01,196.43
BNATWB01,44.2
MOX20,31.47
MOX75,276.43
POD10,46.43
ASMR60,72.14
BAC5ML,28.44
HIC100,171.43
SAL125,298.57
SAL250,427.14
SUN100,395.71
M23-071,112.56
M23-072,70
M23-073,250
M23-074,25
M23-075,54.22
M23-076,669.64
M23-077,22.14
M23-078,41.43
IW3M,19.69
IWH01,16.07
IWH02,20.09
IWH03,20.09
IWH04,18.49
IWH05,20.09
IWH06,19.69
HEM12+3,21.84
PRIMX01,21.9
m23-329,218.7
14073,85.71
BFC75,46.43
BH135,67.86
22626,1071.43
BZ120,126.74
22346,80.36
22494,821.43
22677,285.71
22678,285.71
